Title,Author,amz_rating,amz_reviews,gr_rating,gr_reviews,price,Year,Genre,genre_1,num_pages
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,4.12,9941,24,2011,Non Fiction,Self Help,432
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,4.12,9941,24,2012,Non Fiction,Self Help,432
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,4.12,9941,24,2013,Non Fiction,Self Help,432
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,4.12,9941,16,2015,Non Fiction,Self Help,432
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,4.12,9941,16,2016,Non Fiction,Self Help,432
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,4.12,9941,16,2017,Non Fiction,Self Help,432
The Alchemist,Paulo Coelho,4.7,35799,3.87,77260,39,2014,Fiction,Fiction,182
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,4.29,6747,17,2010,Non Fiction,Nonfiction,320
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,4.52,2802,12,2019,Non Fiction,Psychology,443
The Book Thief,Markus Zusak,4.6,23148,4.37,110863,6,2013,Fiction,Historical-Historical Fiction,552
The Book Thief,Markus Zusak,4.6,23148,4.37,110863,6,2014,Fiction,Historical-Historical Fiction,552
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,4.18,1000,53,2009,Non Fiction,Sports-Sports,736
The Book with No Pictures,B. J. Novak,4.8,8081,4.37,3134,8,2014,Fiction,Childrens-Picture Books,48
The Book with No Pictures,B. J. Novak,4.8,8081,4.37,3134,8,2015,Fiction,Childrens-Picture Books,48
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,4.36,20999,12,2014,Non Fiction,Nonfiction,404
